,search_id,num_planet,disposition,ror,stellar_mass,ss_gravity,period,duration,transit_epoch
185,KIC 9471974,2,1,0.034654,1.247,3.907,190.3200468,15.284,2455145.68498
186,KIC 6862603,1,0,0.039171,1.09,4.458,2.861159894,1.8832,2455004.648106
187,KIC 7366258,1,1,0.038511,0.915,4.463,26.44439337,3.9783,2455027.12074
188,KIC 7366258,2,1,0.05435,0.915,4.463,51.53997972,6.3994,2455007.055011
189,KIC 7366258,3,1,0.023909,0.915,4.463,5.902245782,2.9003,2454969.78393
190,KIC 7366258,4,1,0.018369,0.915,4.463,2.382951591,1.8876,2454968.080841
191,KIC 7373451,1,1,0.037466,0.789,4.585,21.02250608,4.1072,2455040.67593
192,KIC 6948054,4,1,0.019702,0.823,4.562,3.219814777,2.0642,2454966.00406
193,KIC 6949607,1,1,0.027826,0.586,4.696,5.912273234,2.3254,2455005.184012
194,KIC 6949607,2,1,0.026527,0.586,4.696,8.98581901,2.8606,2455008.68418
195,KIC 7031517,1,2,0.259639,0.895,4.572,12.940668656,2.4845,2455012.423014
196,KIC 11869052,1,0,0.017424,0.937,4.206,20.5452375,2.517,2454970.91394
197,KIC 7109675,1,1,0.083298,0.882,4.447,33.60123371,4.4056,2455019.680343
198,KIC 7109675,2,1,0.019382,0.882,4.447,6.76652928,2.9004,2454971.0637
199,KIC 7118364,1,1,0.019273,1.014,4.345,4.347288783,2.1024,2455005.23343
200,KIC 7134976,1,1,0.02579,0.793,4.496,4.601811819,2.2607,2455002.98108
201,KIC 7134976,2,1,0.017042,0.793,4.496,11.18719905,3.252,2454970.17814
202,KIC 7135852,1,1,0.046401,0.544,4.747,4.220965778,3.0854,2455003.622433
203,KIC 7270230,1,0,6.502574,0.926,4.566,6.998099523,2.0488,2455004.898913
204,KIC 7287995,1,1,0.033728,0.64,4.641,5.95489993,2.3892,2455003.955871
205,KIC 7287995,2,1,0.031605,0.64,4.641,12.03987488,2.7363,2455014.22536
206,KIC 7287995,3,1,0.020532,0.64,4.641,20.83762895,2.3734,2454965.08488
207,KIC 3247396,1,0,0.242511,1.333,3.8,8.8111022,5.0683,2454969.4568
208,KIC 7303253,1,1,0.040151,0.697,4.566,23.58917143,5.073,2455006.81994
209,KIC 5094751,1,1,0.017836,1.009,4.213,6.481633073,3.784,2454955.977657
210,KIC 7678434,1,1,0.033023,0.822,4.457,10.37168928,3.035,2455005.61729
211,KIC 7678434,2,1,0.018305,0.822,4.457,3.96996298,1.1757,2454970.75447
212,KIC 7685981,1,1,0.025379,0.968,4.457,4.40841331,5.012,2455005.18582
213,KIC 7708215,1,0,0.046289,1.036,4.521,7.9426176,6.703,2455007.52563
214,KIC 7373451,2,1,0.055361,0.789,4.585,226.8904775,7.558,2455040.35971
215,KIC 7377033,1,0,0.327759,0.602,4.657,1.956811408,2.1958,2455003.694208
216,KIC 7380537,1,2,0.172543,0.699,4.667,2.688899233,2.11275,2455003.1020904
217,KIC 7434875,1,1,0.048953,0.891,4.597,9.439459486,2.8979,2455010.186096
218,KIC 8349582,1,1,0.020288,1.053,4.162,11.523067458,3.8757,2454964.969055
219,KIC 7434875,2,1,0.034376,0.891,4.597,20.47748843,2.8364,2455011.66786
220,KIC 7434875,3,1,0.020396,0.891,4.597,3.336123113,1.9616,2454968.31623
221,KIC 7455287,1,1,0.03347,0.484,4.779,8.01078456,2.312,2455003.20739
222,KIC 7455287,2,1,0.025158,0.484,4.779,12.07134205,4.3224,2454976.45948
223,KIC 7455287,3,1,0.025412,0.484,4.779,20.99587872,2.6333,2454985.31554
224,KIC 7458762,1,1,0.024438,1.014,4.517,7.41113177,2.5242,2455008.34754
225,KIC 7552344,1,0,0.047993,0.718,4.499,1.000747038,0.9967,2455002.974229
226,KIC 757450,1,1,0.114124,0.821,4.5,8.884922995,2.07004,2455002.991686
227,KIC 7585481,1,1,0.076211,1.169,4.442,8.09888906,4.20241,2455009.623731
228,KIC 7663691,1,1,0.032174,1.079,4.47,10.00653012,5.344,2455009.96898
229,KIC 5812701,1,1,0.08815,1.386,4.308,17.855221681,7.41287,2454979.596466
230,KIC 8013419,1,2,0.082519,0.563,4.721,12.732624065,2.2083,2455009.939054
231,KIC 8018547,1,2,0.086015,0.526,4.746,83.92494032,6.7904,2455069.76334
232,KIC 8039892,1,1,0.077106,0.914,4.563,5.007316661,4.2362,2455006.433997
233,KIC 8150320,1,1,0.026289,0.71,4.656,2.211116989,1.6485,2455003.150139
234,KIC 8150320,2,1,0.026973,0.71,4.656,27.9541337,3.95,2455011.73791
235,KIC 11086270,1,1,0.014487,1.019,4.024,12.69104387,3.7727,2454970.12594
236,KIC 7767559,1,0,0.10287,0.811,4.368,4.409409243,3.8636,2455004.89433
237,KIC 7825899,1,1,0.045252,0.937,4.564,16.23947096,4.0374,2455008.569907
238,KIC 7825899,2,1,0.032418,0.937,4.564,6.308201629,2.9785,2455007.047661
239,KIC 7849854,1,1,0.11123,1.049,4.393,2.052349884,2.0778,2455002.890622
240,KIC 7870390,1,1,0.040133,0.508,4.73,9.7704486,2.4517,2455008.71372
241,KIC 7870390,2,1,0.029936,0.508,4.73,5.169804269,2.153,2455005.63153
242,KIC 5094751,2,1,0.01746,1.009,4.213,21.22261195,6.5093,2454970.57403
